Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
Olséns Transport AB,5568799828,Karlsängsvägen 18,770 14,Nyhammar,Ludvika,1.3,2025,1,2012,,,Ny kandidat
Land Socionomkonsult AB,5590216932,Gassarvet Overvägen 54,793 97,Siljansnäs,Leksand,1.3,2025,2,2015,,,Ny kandidat
EIR Bemanning AB,5594970807,Norrviksta 2,824 62,Forsa,Hudiksvall,1.3,2025,1-4,2024,,,Ny kandidat
Boolof uthyrning AB,5590123443,Härjedalsvägen 29,826 39,Söderhamn,Söderhamn,1.3,2025,2,2015,,,Ny kandidat
Svennebo Invest AB,5591298962,Svennebogatan 44,653 49,Karlstad,Karlstad,1.3,2026,1,2017,,,Ny kandidat
Karlssons Motor & Mekan AB,5592304603,Annelundsvägen 11,656 71,Skattkärr,Karlstad,1.3,2025,2,2019,,,Ny kandidat
Your Staff i Sverige AB,5591472005,Styrbordsgatan 21,723 59,Västerås,Västerås,1.3,2025,1,2018,,,Ny kandidat
FORCERA i Mellansverige AB,5591419170,Västerbykil 166,733 62,Västerfärnebo,Sala,1.3,2025,1,2017,,,Ny kandidat
D. Grama Consulting AB,5591608533,Ekevägen 13 b,723 41,Västerås,Västerås,1.3,2026,1,2018,,,Ny kandidat
THE VILLAGE TEAM AB,5567804132,Industrivägen 6,962 70,Vuollerim,Jokkmokk,1.3,2024,4,2009,,,Ny kandidat
JH Motorsport och Event AB,5594680158,Betongvägen 14,973 45,Luleå,Luleå,1.3,2025,0,2024,,,Ny kandidat
FriCra Aktiebolag,5592669120,Västra Svartbyvägen 101,956 91,Överkalix,Överkalix,1.3,2025,4,2020,,,Ny kandidat
ART Entreprenad AB,5590044045,Mandolinstigen 11,982 35,Gällivare,Gällivare,1.3,2025,1,2015,,,Ny kandidat
Karlssons Allservice i Storuman AB,5590030622,Byavägen 44,923 96,Barsele,Storuman,1.3,2025,2,2015,,,Ny kandidat
Fredrika Energiteknik AB,5594841271,Holmselevägen 19,919 93,Fredrika,Åsele,1.3,2025,2,2024,,,Ny kandidat
Småland Solution AB,5593979130,Rättarevägen 3 b,579 32,Högsby,Högsby,1.3,2025,0,2022,,,Ny kandidat
Olofzons bemanning AB,5593135592,Box 370,593 24,Västervik,Västervik,1.3,2025,2,2021,,,Ny kandidat
Irina Med AB,5590570155,Södra Ringvägen 31,352 35,Växjö,Växjö,1.3,2025,1,2016,,,Ny kandidat
LP308 i Sollefteå AB,5592205222,Multrå Kyrkobord 308,881 92,Sollefteå,Sollefteå,1.3,2025,1,2019,,,Ny kandidat
Expressbemanning i Sundsvall AB,5594392325,Vasagatan 15,856 30,Sundsvall,Sundsvall,1.3,2025,3,2023,,,Ny kandidat
Fjällfysiken AB,5590966437,Wärdshusvägen 1,837 96,Undersåker,Åre,1.3,2025,0,2017,,,Ny kandidat
Bemata AB,5567913131,Vallarvägen 128,846 97,Bruksvallarna,Härjedalen,1.3,2025,1,2009,,,Ny kandidat
B&J Bemanning AB,5593753618,Östersundsvägen 37 b,836 31,Lit,Östersund,1.3,2025,5-9,2022,,,Ny kandidat
nAbleGrowth AB,5593464299,Tågvägen 8,624 52,Lärbro,Gotland,1.2,2025,1,2021,,,Ny kandidat
Växtlusten AB,5592636715,Fleminggatan 1,602 24,Norrköping,Norrköping,1.2,2025,1,2020,,,Ny kandidat
Vashly AB,5591545024,Johannelundsvägen 55,163 45,Spånga,Stockholm,1.2,2024,1,2018,,,Ny kandidat
Unik Headhunting Nordics AB,5568215262,Valborgsgatan 12 f,216 13,Limhamn,Malmö,1.2,2025,1,2010,,,Ny kandidat
Techopia AB,5591426779,Lockkullevägen 8,517 37,Bollebygd,Bollebygd,1.2,2025,1,2017,,,Ny kandidat
Talify AB,5594504507,Vasagatan 14 a,172 61,Sundbyberg,Sundbyberg,1.2,2025,2,2023,,,Ny kandidat
Talent Agency Trollhättan AB,5592033343,Larmvägen 9,461 38,Trollhättan,Trollhättan,1.2,2025,2,2019,,,Ny kandidat
Systergräv AB,5593363475,Klisätravägen 5 a,138 33,Älta,Nacka,1.2,2025,1,2021,,,Ny kandidat
SyncUp AB,5595164111,Birger Jarlsgatan 114,114 20,Stockholm,Stockholm,1.2,2025,2,2025,,,Ny kandidat
Stockholm E-konsult uthyrning AB,5592886237,Fräsarvägen 30,142 50,Skogås,Huddinge,1.2,2025,0,2020,,,Ny kandidat
Selecta Recruitment AB,5590364039,Odlingsgatan 7 c,174 53,Sundbyberg,Sundbyberg,1.2,2025,1,2015,,,Ny kandidat
STAR Group Sweden AB,5594661778,Renmarkstorget 12 c,903 26,Umeå,Umeå,1.2,2024,2,2024,,,Ny kandidat
SIMS Executive Search AB,5565536421,Korsgatan,411 16,Göteborg,Göteborg,1.2,2025,0,1998,,,Ny kandidat
RekryteringsKonsulten Sverige AB,5591618961,Optimusvägen 6 b,194 77,Upplands Väsby,Upplands Väsby,1.2,2025,1,2018,,,Ny kandidat
Recruitment Center in Sweden AB,5593403016,"c/o Daniyal Shamkhalov, Engelbrektsgatan 14 c",722 16,Västerås,Västerås,1.2,2024,1,2021,,,Ny kandidat
Nazar Bemanning Aktiebolag,5592886765,Nyforsgatan 12 b,632 25,Eskilstuna,Eskilstuna,1.2,2025,1-4,2020,,,Ny kandidat
Modeverket Aktiebolag,5565790572,Drottninggatan 61,111 21,Stockholm,Stockholm,1.2,2025,1,2000,,,Ny kandidat
ML Power AB,5568988199,Decembergatan 2,415 48,Göteborg,Göteborg,1.2,2025,1,2012,,,Ny kandidat
LBO SVERIGE AB,5592900780,Vattugatan 1,919 31,Åsele,Åsele,1.2,2025,1,2020,,,Ny kandidat
Konport AB,5593720393,Riksdalers Gränd 14,451 73,Uddevalla,Uddevalla,1.2,2025,1,2022,,,Ny kandidat
Karisma Rekrytering AB,5565645073,Smedsta 24,153 92,Hölö,Södertälje,1.2,2025,1-4,1999,,,Ny kandidat
KARIERA NORDIC AB,5566653159,Arenavägen 39,121 77,Johanneshov,Stockholm,1.2,2024,3,2004,,,Ny kandidat
Inkognito Konsult AB,5594316985,S:T Knuts Väg 15 a,211 57,Malmö,Malmö,1.2,2025,1,2023,,,Ny kandidat
Human Ability AB,5594087958,Västra Ryttmästaregatan 18 a,217 52,Malmö,Malmö,1.2,2025,1,2022,,,Ny kandidat
Human & Executive Sweden AB,5591674501,Bäckeskogsgatan 2,504 68,Borås,Borås,1.2,2025,1,2018,,,Ny kandidat
Hitract AB,5592103260,Olof Palmes Gata 11,111 37,Stockholm,Stockholm,1.2,2025,0,2019,,,Ny kandidat
Friis Consulting AB,5594358581,Industrigatan 60,252 29,Helsingborg,Helsingborg,1.2,2025,1,2023,,,Ny kandidat
Excellium Sweden AB,5593423915,Skonarevägen 40,439 35,Onsala,Kungsbacka,1.2,2025,1,2021,,,Ny kandidat
Elfrax AB,5594945049,Båtsmansvägen 5,239 31,Skanör,Vellinge,1.2,2025,0,2024,,,Ny kandidat
Ekenfelts Konsult AB,5594747973,Junivägen 5,352 60,Växjö,Växjö,1.2,2025,1-4,2024,,,Ny kandidat
EFFSO Tech AB,5591778286,Röntgenvägen 3 d,171 54,Solna,Solna,1.2,2025,1,2018,,,Ny kandidat
Curatia AB,5595069013,Arklimästaregatan 37,371 35,Karlskrona,Karlskrona,1.2,2025,1,2024,,,Ny kandidat
Briljant Rekrytering i Stockholm AB,5591970537,Granbacken 3,185 94,Vaxholm,Vaxholm,1.2,2026,1,2019,,,Ny kandidat
Berving/Hägglund AB,5593989899,Myråsvägen 32 a,818 33,Valbo,Gävle,1.2,2025,2,2022,,,Ny kandidat
Balkefors Consulting Aktiebolag,5590680566,Första Magasinsgatan 3,803 10,Gävle,Gävle,1.2,2025,1,2016,,,Ny kandidat
BETE Global Bemanning AB,5593361610,Isafjordsgatan 20,164 40,Kista,Stockholm,1.2,2024,3,2021,,,Ny kandidat
Amanda Invest AB,5569000846,Djupedalsvägen 22,433 50,Öjersjö,Partille,1.2,2025,0,2012,,,Ny kandidat
Allegis Global Solutions Aktiebolag,5568825359,Grev Turegatan 3 4 Tr,114 46,Stockholm,Stockholm,1.2,2024,0,2012,,,Ny kandidat
All Competence Malmö AB,5568233752,Södra Förstadsgatan 65 a Bv,214 20,Malmö,Malmö,1.2,2025,0,2010,,,Ny kandidat
Agentera AB,5569063844,Bolmensvägen 47,120 50,Årsta,Stockholm,1.2,2025,2,2012,,,Ny kandidat
ASTAREC AB,5569639049,Hedinsgatan 9,115 33,Stockholm,Stockholm,1.2,2025,1,2014,,,Ny kandidat
AAA ArbetsAccess AB,5593732224,Båtsman Lobergs Gata 28,152 59,Södertälje,Södertälje,1.2,2025,1,2022,,,Ny kandidat
1:a L.I.F Omsorg AB,5569057572,Källargatan 1 a,642 60,Malmköping,Flen,1.2,2024,0,2012,,,Ny kandidat
Xcaret Fastighetsservice AB,5565665139,Flygfältsgatan 30,128 30,Skarpnäck,Stockholm,1.2,2025,2,1999,,,Ny kandidat
Ugarit Care AB,5569488132,Storvretsvägen 142,163 47,Spånga,Stockholm,1.2,2025,1,2013,,,Ny kandidat
Timmis AB,5590322888,Love Almqvists Väg 12,112 53,Stockholm,Stockholm,1.2,2025,1,2015,,,Ny kandidat
Taktikon Crew AB,5595215186,Byängsgräns 14,120 40,Årsta,Stockholm,1.2,2025,1-4,2025,,,Ny kandidat
Tabbouli Group AB,5566583711,Regeringsgatan 70,111 39,Stockholm,Stockholm,1.2,2025,0,2004,,,Ny kandidat
STOCKHOLM PHONE CENTER AB,5590728555,Drottninggatan 81 a,111 60,Stockholm,Stockholm,1.2,2025,1,2016,,,Ny kandidat
Operating Room Nurse Sweden AB,5594011149,Dalbobranten 16,128 68,Sköndal,Stockholm,1.2,2025,1,2022,,,Ny kandidat
Mokum Restaurang Aktiebolag,5563524015,"c/o Advokatfirman Fylgia KB, Box 55555",102 04,Stockholm,Stockholm,1.2,2023,0,1989,,,Ny kandidat
Michael Nilsson Konsult AB,5594586637,Mamrevägen 20,163 43,Spånga,Stockholm,1.2,2025,1,2023,,,Ny kandidat
MJO Bemanning AB,5593017972,Oktavgatan 5,126 28,Hägersten,Stockholm,1.2,2024,1,2021,,,Ny kandidat
Krakowski Consulting AB,5562218049,Östermalmsgatan 18,114 26,Stockholm,Stockholm,1.2,2025,1,1982,,,Ny kandidat
Himali Consulting AB,5594546284,Bergenhielmsvägen 10 a,168 57,Bromma,Stockholm,1.2,2025,1-4,2023,,,Ny kandidat
Garde Security Sweden AB,5593326647,Roslagsgatan 19,113 55,Stockholm,Stockholm,1.2,2024,1,2021,,,Ny kandidat
Berggren Consultant AB,5568131048,Åsögatan 116,116 24,Stockholm,Stockholm,1.2,2025,1-4,2010,,,Ny kandidat
AshMedicin AB,5592939069,Fageredsgränd 8,125 72,Älvsjö,Stockholm,1.2,2022,0,2020,,,Ny kandidat
Amazonia service AB,5594432907,Olaus Magnus Väg 6,121 40,Johanneshov,Stockholm,1.2,2025,2,2023,,,Ny kandidat
Unistaff AB,5566714092,Solvägen 17 a,175 67,Järfälla,Järfälla,1.2,2025,0,2004,,,Ny kandidat
Tilles Miljö AB,5594632340,Lillgårdsvägen 15,137 57,Tungelsta,Haninge,1.2,2025,1,2023,,,Ny kandidat
The Butler Stockholm AB,5594587635,Granängsringen 50,135 45,Tyresö,Tyresö,1.2,2025,3,2023,,,Ny kandidat
THU Group Invest AB,5592816424,Ansgarsvägen 27,152 51,Södertälje,Södertälje,1.2,2025,3,2020,,,Ny kandidat
Stockholm Tre Evenemang AB,5566855093,Mogårdsvägen 29 5 Tr,143 43,Vårby,Huddinge,1.2,2025,2,2005,,,Ny kandidat
Robin Grape AB,5591621718,Sjödalsbacken 9,141 61,Huddinge,Huddinge,1.2,2025,1,2018,,,Ny kandidat
Ramqvist Management Consultants AB,5591081277,Skolvägen 7,137 54,Tungelsta,Haninge,1.2,2025,1,2017,,,Ny kandidat
RM Konsult AB,5592596901,Segersminnevägen 17,141 40,Huddinge,Huddinge,1.2,2025,1,2020,,,Ny kandidat
Ordo AB,5592638323,Åbylundsvägen 245,137 32,Västerhaninge,Haninge,1.2,2025,3,2020,,,Ny kandidat
OPSELL AB,5568829377,Vårvägen 13 b,132 36,Saltsjö-Boo,Nacka,1.2,2025,2,2012,,,Ny kandidat
Noxian Event AB,5594631441,Buxbomsvägen 6,197 36,Bro,Upplands-Bro,1.2,2025,1,2023,,,Ny kandidat
Nilha AB,5568882913,Tjusarbacken 5 c,139 36,Värmdö,Värmdö,1.2,2025,1,2012,,,Ny kandidat
Milina AB,5593839144,Ida Björlings Väg 11,145 54,Norsborg,Botkyrka,1.2,2025,1-4,2022,,,Ny kandidat
MM Bemanning AB,5594924978,Dalgatan 39 Lgh 1705,151 34,Södertälje,Södertälje,1.2,2025,2,2024,,,Ny kandidat
Kosmo Bemanning AB,5593750317,Hallonbergsvägen 9,174 53,Sundbyberg,Sundbyberg,1.2,2025,2,2022,,,Ny kandidat
Helsved AB,5568978166,Karlavägen 48,186 46,Vallentuna,Vallentuna,1.2,2025,2,2012,,,Ny kandidat
E.G.A. AB,5594773359,Dåntorpsvägen 33 Hq,136 50,Jordbro,Haninge,1.2,2025,2,2024,,,Ny kandidat
Adviser Pink interactive AB,5567583991,Toruns Väg 16,153 38,Järna,Södertälje,1.2,2025,1,2008,,,Ny kandidat
Valp AB,5594698192,Lagman Eskils Väg 3,443 34,Lerum,Lerum,1.2,2025,1,2024,,,Ny kandidat
Sombridge AB,5591160741,Fyrktorget 4,414 83,Göteborg,Göteborg,1.2,2025,1,2017,,,Ny kandidat
Solid Concrete Göteborg AB,5594821893,Fagottgatan 6 1904,421 41,Västra Frölunda,Göteborg,1.2,2025,1,2024,,,Ny kandidat
ServEase AB,5569156820,Gråbrödragatan 6 Lgh 1204,442 36,Kungälv,Kungälv,1.2,2024,1,2012,,,Ny kandidat
PEPS BUTIK AB,5569460099,Tallvägen 4,514 60,Dalstorp,Tranemo,1.2,2025,1,2013,,,Ny kandidat
Midas AB,5593052664,Getskärs Badväg 8,444 61,Stora Höga,Stenungsund,1.2,2025,1,2021,,,Ny kandidat
K.S läkartjänster AB,5593477069,Myråsgatan 16 b,507 33,Brämhult,Borås,1.2,2025,1-4,2021,,,Ny kandidat
Johanens Redovisning AB,5569780876,E a Rosengrens Gata 31,421 31,Västra Frölunda,Göteborg,1.2,2025,1-4,2014,,,Ny kandidat
Hanami Medical AB,5593054256,Birger Jarlsgatan 18 k,414 69,Göteborg,Göteborg,1.2,2025,1,2021,,,Ny kandidat
Freja Konsulting AB,5592532849,"c/o Zeynalov, Saturnusgatan 8",415 64,Göteborg,Göteborg,1.2,2024,1,2020,,,Ny kandidat
Albert A Consulting AB,5593249138,E a Rosengrens Gata 31,421 31,Västra Frölunda,Göteborg,1.2,2025,1,2021,,,Ny kandidat
Väsbylunds gård AB,5593602450,Måarpsvägen 125,263 91,Höganäs,Höganäs,1.2,2025,1-4,2022,,,Ny kandidat
Tysani Workpower AB,5593088726,Lergöksgatan 56,215 79,Malmö,Malmö,1.2,2025,1,2021,,,Ny kandidat
TygelsjöMölla Konsult AB,5592744014,Stora Södergatan 27,222 23,Lund,Lund,1.2,2025,0,2020,,,Ny kandidat
Ted K Mårtensson Management AB,5594836396,Drottninggatan 92,252 21,Helsingborg,Helsingborg,1.2,2025,2,2024,,,Ny kandidat
Självklar Service AB,5592498447,Spannarpsvägen 70,262 95,Ängelholm,Ängelholm,1.2,2025,2,2020,,,Ny kandidat
Per Hammar AB,5563538700,Smedstorp Prästgården 1,273 98,Smedstorp,Tomelilla,1.2,2024,2,1989,,,Ny kandidat
Inovatorët Consulting AB,5593855868,Frejagatan 12,242 35,Hörby,Hörby,1.2,2024,1,2022,,,Ny kandidat
HN Lotstjänst AB,5592808371,Gyhultsvägen 40,254 46,Helsingborg,Helsingborg,1.2,2025,1-4,2020,,,Ny kandidat
Goldstream Aktiebolag,5564857968,Korsholm 7100,242 97,Hörby,Hörby,1.2,2025,1,1994,,,Ny kandidat
Fjällfotasjö Gård AB,5567214118,Fjällfotavägen 133,233 91,Svedala,Svedala,1.2,2025,0,2007,,,Ny kandidat
E Snecker Konsult AB,5594094863,Tegelbruksgatan 3,253 53,Påarp,Helsingborg,1.2,2025,0,2022,,,Ny kandidat
CB Care AB,5594028051,Kantorsgatan 24,254 51,Helsingborg,Helsingborg,1.2,2025,1,2022,,,Ny kandidat
Aktiebolaget Arvidsson & Alm,5591232896,Kornettsgatan 13 a,211 50,Malmö,Malmö,1.2,2025,1,2017,,,Ny kandidat
Unik Student i Sverige AB,5595010595,Diskettgatan 2,583 30,Linköping,Linköping,1.2,2025,2,2024,,,Ny kandidat
Lars Tholmark AB,5562903517,Roxtorp Sjölund 1,585 78,Vreta Kloster,Linköping,1.2,2025,1,1987,,,Ny kandidat
AfroNordic Consulting AB,5590801626,Väverigatan 1,582 13,Linköping,Linköping,1.2,2025,1,2016,,,Ny kandidat
Sliwinski Holding AB,5591270003,Övre Slottsgatan 6 a,753 10,Uppsala,Uppsala,1.2,2025,1,2017,,,Ny kandidat
NineFor Group AB,5568440571,Islandsgatan 6,753 08,Uppsala,Uppsala,1.2,2025,1,2011,,,Ny kandidat
GetANurse Sweden AB,5592265556,Rosendalsvägen 8 Lgh 1103,756 44,Uppsala,Uppsala,1.2,2025,3,2019,,,Ny kandidat
Tryckfärgsvägens Förvaltnings AB,5566627831,Grans Gårds Väg 1,746 92,Bålsta,Håbo,1.2,2025,1-4,2004,,,Ny kandidat
Juhas Bemanning AB,5569163560,Södra Strandgatan 23,553 20,Jönköping,Jönköping,1.2,2025,2,2012,,,Ny kandidat
AB Tranås AIF,5569967549,Sportvägen 1,573 93,Tranås,Tranås,1.2,2025,3,2014,,,Ny kandidat
ELEVATA HISS AKTIEBOLAG,5567576870,Varbergsvägen 2090,439 61,Frillesås,Kungsbacka,1.2,2025,1,2008,,,Ny kandidat
Örebro Cocktails AB,5567489744,Landstormsvägen 19,702 25,Örebro,Örebro,1.2,2025,1,2008,,,Ny kandidat
J Adolfsson Project AB,5592452303,Billtorpsvägen 1 b,702 29,Örebro,Örebro,1.2,2025,1,2020,,,Ny kandidat
AI Socionompoolen Consulting AB,5594051863,Sörbyallén 8,702 17,Örebro,Örebro,1.2,2025,1-4,2022,,,Ny kandidat
Cowslip AB,5593888083,Källmossvägen 3,691 52,Karlskoga,Karlskoga,1.2,2025,2,2022,,,Ny kandidat
Zipp Bemanning AB,5592017767,Brogatan 21,645 61,Stallarholmen,Strängnäs,1.2,2025,2,2019,,,Ny kandidat
Helgstrand Entreprenad AB,5593305484,Repslagarvägen 18 b,643 32,Vingåker,Vingåker,1.2,2025,1,2021,,,Ny kandidat
Gimlä Bemanning AB,5592088628,Gustafsvägen 4,633 46,Eskilstuna,Eskilstuna,1.2,2024,2,2019,,,Ny kandidat
European Air Invest AB,5565741047,Spelmansvägen 29,633 52,Eskilstuna,Eskilstuna,1.2,2024,1,1999,,,Ny kandidat
Robert Eriksson Förvaltning i Avesta AB,5567147862,Folkaregatan 58,775 70,Krylbo,Avesta,1.2,2025,2,2006,,,Ny kandidat
Masfix AB,5592231350,Brudvägen 22,792 32,Mora,Mora,1.2,2025,1,2019,,,Ny kandidat
F-Bolaget AB,5565334710,Selkroken 1,806 31,Gävle,Gävle,1.2,2025,2,1996,,,Ny kandidat
Teodora AB,5592911936,Gunnebogatan 3,653 49,Karlstad,Karlstad,1.2,2025,1,2020,,,Ny kandidat
Ramstedts Service AB,5594943630,Storåsgatan 3,667 33,Forshaga,Forshaga,1.2,2025,1-4,2024,,,Ny kandidat
Erikssons Alltjänst & Holding AB,5594390766,Näresbyn Söberget 1,672 92,Årjäng,Årjäng,1.2,2025,1,2023,,,Ny kandidat
ER Konsult i Torsby AB,5591103659,Västanvik 1,685 91,Torsby,Torsby,1.2,2025,1,2017,,,Ny kandidat
BANKSY AB,5592911944,Långgatan 25 a,652 22,Karlstad,Karlstad,1.2,2025,1,2020,,,Ny kandidat
YumYum Jobb AB,5594839317,Johanneshöjden 4 Lgh 2203,722 19,Västerås,Västerås,1.2,2024,3,2024,,,Ny kandidat
MW Demolition AB,5593571580,Ulvsbovägen 50,737 93,Fagersta,Fagersta,1.2,2025,1,2021,,,Ny kandidat
ViolaVård AB,5592489214,Ersnäsvägen 63 c,975 92,Luleå,Luleå,1.2,2025,1,2020,,,Ny kandidat
Wallstål Motorsport AB,5594374182,Hortlaxvägen 141,944 31,Hortlax,Piteå,1.2,2025,1,2023,,,Ny kandidat
R66 AB,5594850041,Byggyrkesgatan 12,933 34,Arvidsjaur,Arvidsjaur,1.2,2026,1,2024,,,Ny kandidat
NesnejE AB,5593878407,Banvägen 25 a,973 46,Luleå,Luleå,1.2,2025,3,2022,,,Ny kandidat
Morris BMA AB,5594685629,Rimfrostgatan 10 Lgh1302,982 41,Gällivare,Gällivare,1.2,2025,1,2024,,,Ny kandidat
Lejde Maskin & Teknik AB,5569246449,Lejdevägen 14 b,975 96,Luleå,Luleå,1.2,2025,1,2013,,,Ny kandidat
Kågedalens Alltjänst AB,5568879117,Finnforsby 130,936 92,Boliden,Skellefteå,1.2,2025,2,2012,,,Ny kandidat
Eze Solutions AB,5594126350,Timotejvägen 16,914 33,Nordmaling,Nordmaling,1.2,2025,1,2022,,,Ny kandidat
Elin Holmlund Consulting AB,5594609728,Trollberget 260,922 90,Vindeln,Vindeln,1.2,2025,1,2023,,,Ny kandidat
Darirums Teknik AB,5595021451,Klövervägen 9,917 32,Dorotea,Dorotea,1.2,2025,1,2024,,,Ny kandidat
BjoTech Aktiebolag,5568665698,Lucken 6,914 96,Håknäs,Nordmaling,1.2,2025,1,2011,,,Ny kandidat
R. Karlssons Transport AB,5593296162,Medelvägen 5,382 73,Alsterbro,Nybro,1.2,2025,1,2021,,,Ny kandidat
Etapp AB,5567450605,Billa Kulla Gård,355 75,Åryd,Växjö,1.2,2025,1-4,2007,,,Ny kandidat
Nurse Support Sverige AB,5590944152,Västergatan 21 b,856 42,Sundsvall,Sundsvall,1.2,2025,1,2016,,,Ny kandidat
Henrik Forss Entreprenad AB,5590118005,Gärdevägen 1,835 94,Aspås,Krokom,1.2,2025,1,2015,,,Ny kandidat
mkbergman consulting AB,5594429747,Eskilstorp Näset 1,333 74,Bredaryd,Värnamo,1.1,2025,1,2023,,,Ny kandidat
WorkGuide Sverige AB,5593670796,Sibeliusgången 22 c,164 77,Kista,Stockholm,1.1,2025,2,2022,,,Ny kandidat
WOOW Executive Search AB,5592920390,Drakenbergsgatan 3,117 41,Stockholm,Stockholm,1.1,2025,2,2020,,,Ny kandidat
Uppsala Jobb Poll AB,5568528243,S:T Olofsgatan 11 a,753 21,Uppsala,Uppsala,1.1,2025,2,2011,,,Ny kandidat
VDB Consulting AB,5593983470,Regeringsgatan 78 a,111 39,Stockholm,Stockholm,1.1,2025,1,2022,,,Ny kandidat
Tecy AB,5593679946,Näsbyvägen 24 b,135 53,Tyresö,Tyresö,1.1,2025,1,2022,,,Ny kandidat
TOBLOR Consulting AB,5592445547,Örtoftagatan 47,216 20,Malmö,Malmö,1.1,2025,1,2020,,,Ny kandidat
Sweden Works AB,5591213953,Seminarievägen 45 b Lgh 1201,352 38,Växjö,Växjö,1.1,2025,1,2017,,,Ny kandidat
Swapp Agency Aktiebolag,5594450206,Box 5385,102 49,Stockholm,Stockholm,1.1,2024,4,2023,,,Ny kandidat
Sture Search AB,5568176688,Töjnavägen 39 b,191 34,Sollentuna,Sollentuna,1.1,2025,1,2010,,,Ny kandidat
Stockholm Sourcing AB,5569327850,Skanörvägen 6 Lgh 1302,121 52,Johanneshov,Stockholm,1.1,2024,2,2013,,,Ny kandidat
Stanton Chase Sweden AB,5594689498,Tegnérgatan 15 2tr,111 40,Stockholm,Stockholm,1.1,2024,1-4,2024,,,Ny kandidat
Socialaktörerna AB,5590562897,Itolv Workspejs Kaserngatan 14,575 35,Eksjö,Eksjö,1.1,2025,1,2016,,,Ny kandidat
Skånes Alltjänst i Malmö AB,5568351307,Sallerupsvägen 152,212 28,Malmö,Malmö,1.1,2025,1,2010,,,Ny kandidat
Skylight Invest AB,5591376735,Bleckåsvägen 7,835 97,Offerdal,Krokom,1.1,2025,2,2017,,,Ny kandidat
REBE INTER AB,5594514696,Sjötorpsvägen 36,134 38,Gustavsberg,Värmdö,1.1,2024,1,2023,,,Ny kandidat
RL Future Management AB,5567012199,"c/o RL Future Management AB, Box 5248",102 45,Stockholm,Stockholm,1.1,2025,2,2006,,,Ny kandidat
PsykoLogiskt Niemandius AB,5592872377,Nedre Fogelbergsgatan 6 b Nb,411 28,Göteborg,Göteborg,1.1,2025,1,2020,,,Ny kandidat
PSXpress AB,5593205031,Johan Willins Gata 6,416 64,Göteborg,Göteborg,1.1,2025,1,2021,,,Ny kandidat
Ostoya Concept Development AB,5567295448,Hammarby Allé 150,120 66,Stockholm,Stockholm,1.1,2025,1-4,2007,,,Ny kandidat
Oslipat AB,5593655854,Jungmansgränd 22,117 67,Stockholm,Stockholm,1.1,2025,1,2022,,,Ny kandidat
Norrtälje vård & omsorg AB,5593393217,Vätövägen 460,761 76,Norrtälje,Norrtälje,1.1,2025,2,2021,,,Ny kandidat
Niash AB,5594688995,Skrävstavägen 5,147 32,Tumba,Botkyrka,1.1,2025,1,2024,,,Ny kandidat
Moriso Consulting AB,5594173865,Gyllenkrooksgatan 15,412 82,Göteborg,Göteborg,1.1,2025,1-4,2023,,,Ny kandidat
Lilliér Rekrytering AB,5591186316,Knutstorpsvägen 9,268 77,Kågeröd,Svalöv,1.1,2025,1,2017,,,Ny kandidat
Kvinnokompetensen Rekrytering & Ledarutveckling Sverige AB,5566374103,Bergsgatan 1,112 23,Stockholm,Stockholm,1.1,2025,1,2002,,,Ny kandidat
Kerstin Avemo AB,5568097488,Wargentinsgatan 2,112 29,Stockholm,Stockholm,1.1,2025,1,2010,,,Ny kandidat
Kayali Consulting AB,5595000232,Tvedegårdsvägen 18 a,291 48,Kristianstad,Kristianstad,1.1,2025,2,2024,,,Ny kandidat
KaNoHa AB,5591936777,Kristineberg 103,241 93,Eslöv,Eslöv,1.1,2025,1,2019,,,Ny kandidat
Josefin Thörnert Consulting AB,5593330391,Poppelvägen 55,135 52,Tyresö,Tyresö,1.1,2025,1,2021,,,Ny kandidat
Jobmax AB,5592603095,Landbotorpsallén 7,702 43,Örebro,Örebro,1.1,2025,1,2020,,,Ny kandidat
Jansson Partners Cornerstone AB,5566470414,Stig Lindbergs Gata 15,134 52,Gustavsberg,Värmdö,1.1,2025,2,2003,,,Ny kandidat
JG transport & konsult Aktiebolag,5594915489,Hånsta 108,747 92,Alunda,Östhammar,1.1,2025,1,2024,,,Ny kandidat
Hyrhälsan i Örebro AB,5590667597,Cv-Gatan 105,703 82,Örebro,Örebro,1.1,2025,1,2016,,,Ny kandidat
Hope Guiden AB,5593060931,Hagavägen 11,784 31,Borlänge,Borlänge,1.1,2025,2,2021,,,Ny kandidat
Hospitality Specialist AB,5593316754,Kustroddaregatan 2,414 52,Göteborg,Göteborg,1.1,2025,1,2021,,,Ny kandidat
Gatenborg Executive Consulting AB,5594440918,Östgötagatan 42,116 64,Stockholm,Stockholm,1.1,2025,1,2023,,,Ny kandidat
Fairquest rekrytering AB,5593648974,Kungsgatan 9 Box 3359,103 67,Stockholm,Stockholm,1.1,2025,1,2022,,,Ny kandidat
Eyra Education AB,5569162398,Köpmangatan 23-25,702 23,Örebro,Örebro,1.1,2025,0,2012,,,Ny kandidat
Exelect AB,5565717153,Bergviksgatan 27,152 50,Södertälje,Södertälje,1.1,2025,1,1999,,,Ny kandidat
