Bolagsnamn,Org.nr,Hemsida,Mejl,Fokusnotering,Träffsäkerhet,Besöksadress,Ort,Omsättning (Mkr),Anställda
Agigo AB,5593295339,https://agigo.se/,info@agigo.se,"Rekrytering inom ekonomi och redovisning (controller, redovisningsekonom, finanschef).",high,Sveavägen 34,Stockholm,51.7,24
UngdomsKraft AB,5591713606,,,"Okänt. Namnet antyder insatser/bemanning riktade mot ungdomar, men ingen hemsida kunde bekräftas.",low,Södra Hamnvägen 44,Stockholm,51.6,71
DK lyft&transport AB,5567335665,,,Sannolikt bemanning/personal inom lyft och transport (kranbilar); ingen hemsida hittad.,low,Energivägen 11,Kungsängen,51.3,20
Wheelwork Sweden AB,5592471386,,,Okänt - ingen hemsida kunde hittas eller nås.,low,Saleby Dalen Jung 1,Kvänum,51.0,105
Matchedin AB,5590137716,https://www.matchedin.se/,,Inkluderande rekrytering/bemanning - matchar personer som haft svårt att ta sig in på arbetsmarknaden (bl.a. Rusta och Matcha).,high,Wallingatan 42 Bv,Stockholm,50.4,37
D&J Solutions AB,5593745697,,,Okänt - ingen hemsida kunde hittas.,low,Birger Svenssons Väg 11,Varberg,50.3,40
Friday Syd AB,5594520750,https://friday.se/,info@friday.se,IT/tech-rekrytering (Malmö-kontor av det rikstäckande rekryteringsbolaget Friday).,high,Adelgatan 9,Malmö,50.2,53
HSA Söderqvist Service AB,5566380472,,,Okänt - ingen hemsida kunde hittas.,low,Kungsgatan 36,Stockholm,49.7,30
Procruitment Jönköping AB,5592185507,https://www.procruitment.se/,info@procruitment.se,"Rekrytering inom IT, tech och engineering.",high,Gjuterigatan 9 Bv,Jönköping,49.7,46
Academic Search International Aktiebolag,5564069879,https://www.academicsearch.se/,info@academicsearch.se,"Executive search, interimskonsulter och ledarskapsutveckling på chefs-/specialistnivå.",high,Sveavägen 47,Stockholm,49.6,32
Devoote AB,5569458333,https://www.devoote.se/,,"Beskriver sig som ett specialiserat svenskt IT-bolag - sannolikt IT-konsultbemanning, men fokus inte fullt bekräftat.",medium,Per Weijersgatan 2,Malmö,49.4,14
Entreprenad Partner i Stockholm AB,5593769242,https://www.entreprenadpartner.se/,,"Byggentreprenad (totalentreprenad, finsnickeri, byggservice) - hemsidan beskriver inget rekryterings-/bemanningsfokus och anger Stockholm snarare än Rimbo, så matchningen är osäker.",low,Box 27 Trident,Rimbo,48.8,3
BUILDBASE ÖREBRO AB,5590949961,,,Okänt - domänen buildbase.se är en parkerad/oanvänd domän och tillhör inte bolaget.,low,Skottvägen 24,Örebro,48.8,58
Svenska Storesupport Bemanning AB,5566559422,https://www.storesupport.se/,,"Butiks-/handelsbemanning - butikspersonal, lager, logistik och e-handel (del av Job&Talent-koncernen).",high,Vretenvägen 13,Solna,48.6,76
Ikett Elektro AB,5567785901,https://www.ikett.com/,,Industribemanning - kvalificerad industripersonal och elektriker (dotterbolag till Ikett Personalpartner AB).,high,Aklejavägen 6,Karlskrona,48.3,60
TWINDEJ AB,5567597272,https://www.twindej.se/,info@twindej.se,"Bemanning/tjänster inom spårfordon (järnvägsfordon) - entreprenad, service och utbildning.",high,Hamngränd 6,Västerås,48.3,30
Real Competence Svenska AB,5565832564,https://www.realcompetence.se/,info@realcompetence.se,"Rekrytering, bemanning och konsulting inom fastighetsbranschen.",high,Kungsgatan 35,Stockholm,48.2,10
Capio Bemanning och Rekrytering AB,5568994361,,,"Sannolikt vårdbemanning/rekrytering kopplat till Capio-koncernen, men kunde inte bekräftas pga sökbegränsningar under research.",low,Lilla Bommen 5,Göteborg,48.1,28
Nordisk Spårteknik AB,5591794721,,,"Sannolikt bemanning/tjänster inom järnvägs-/spårteknik (liknande bransch som TWINDEJ AB), men kunde inte bekräftas.",low,Tolvmilavägen 1,Borlänge,47.7,21
Invoicery Europe AB,5595041681,https://www.invoicery.com/,info@invoicery.com,"Egenanställnings-/faktureringstjänst för frilansare och konsulter. Obs: sidfoten på hemsidan anger enbart 'Invoicery AB', inte exakt 'Invoicery Europe AB' eller Uppsala som säte.",medium,Dag Hammarskjölds Väg 13,Uppsala,47.6,1
Amrop AB,5562944032,https://www.amrop.com/sweden,,"Executive search, leadership advisory och board services (del av internationellt nätverk).",medium,Blasieholmsgatan 5 6tr,Stockholm,46.4,29
ANTS Akademiskt Nätverk av Tekniska Studenter AB,5566536230,https://www.ants.se/,rekrytering@ants.se,"IT-rekrytering (Ants Tech Recruiters); namnet antyder koppling till nätverk av tekniska studenter, men exakt koppling till hemsidans varumärke inte fullt verifierad.",medium,Sveavägen 34,Stockholm,46.3,48
Crowd Collective Linköping AB,5593342586,https://www.crowdcollective.com/,,"IT-konsultbolag som hyr ut och rekryterar utvecklare, designers, data scientists och andra tech-profiler (uthyrning av IT-konsulter).",high,Gamla Tanneforsvägen 92,Linköping,45.7,27
Astrid Crew Sverige AB,5594162280,,,Bemanningsbolag som hyr ut besättning/personal till fiskeriverksamheten inom Astrid Fiske-koncernen; ingen egen publik webbplats hittades.,medium,Lilla Sörikringsvägen 10,Rörö,45.3,27
H o S Sverige AB,5591184618,https://www.houseofskills.se/,,IT- och finansrekrytering samt konsultmäkleri under varumärket House of Skills.,high,Vasagatan 16,Stockholm,45.1,3
CureLink AB,5592170194,https://curelink.se/,,Vårdbemanning/rekrytering av specialistläkare till svensk sjukvård.,high,Esplanaden 15 b,Lomma,45.1,6
Mediate Nordic AB,5566443023,https://mediatenordic.se/,,Vårdbemanning och rekrytering av läkare och sjuksköterskor.,high,Stora Södergatan 49,Lund,44.3,5
TB-Group AB,5590966759,https://www.tb-group.se/,info@tb-group.se,Rekryteringsbolag som erbjuder extern rekrytering via en abonnemangsbaserad modell utan bindningstid.,high,Gävlegatan 12 a,Stockholm,44.1,40
Korn Ferry RPO (Sweden) AB,5593139867,https://www.kornferry.com/,,Recruitment Process Outsourcing (RPO) – hanterar hela eller delar av kunders rekryteringsprocesser.,high,Norrlandsgatan 18,Stockholm,44.1,45
Software Skills International AB,5569001927,https://softwareskills.se/,,"IT-rekrytering i Göteborg, matchar utvecklare och testare med företag, samt driver ett talangprogram.",high,Drottninggatan 38 3tr,Göteborg,43.7,6
Lagersupport AB,5563944130,,,"Personaluthyrning, sannolikt inriktat mot lager/logistik och livsmedelsbranschen enligt registrerad verksamhetsbeskrivning; ingen egen webbplats hittades.",low,Fågelviksvägen 5 g,Norsborg,43.7,46
Curaliv AB,5569869513,https://www.curaliv.se/,,Bemanning och rekrytering inom vård och omsorg.,high,Järva Skjutbaneväg 62,Solna,43.1,15
SEVR Finance AB,5593277113,https://www.sevr.se,,"Interimslösningar och rekrytering inom ekonomi/finans (bemanning av ekonomer), del av SEVR Group.",medium,Fredsgatan 1,Göteborg,43.1,21
Svensk Vårdsupport AB,5568095375,https://www.vardsupport.se,kontor@vardsupport.se,"Vårdbemanning – läkare, sjuksköterskor, psykologer och socionomer, akut och långsiktigt.",high,Vasagatan 12,Stockholm,42.4,19
Star People Partner Sweden AB,5569414724,,,"Bemanning och rekrytering inom event-, restaurang- och PR/produktionsbranschen (del av Stjärnskott Sverige AB).",medium,Grev Turegatan 11 a Vån 5,Stockholm,42.2,42
Human Capital Group HCG AB,5567011225,https://humancapital.se,info@humancapital.se,"Rekrytering, interim och executive search inom ekonomi, HR och management.",high,Torsgatan 13,Stockholm,42.1,20
Musikalliansen i Sverige AB,5567538615,https://musikalliansen.se,info@musikalliansen.se,"Anställer och bemannar frilansande musiker och scenkonstnärer, finansierat via statsbidrag.",high,Hornsgatan 103 12tr,Stockholm,41.9,172
Daysa Construction AB,5594751140,https://www.daysa.se,,"Bemanning inom bygg och infrastruktur, certifierade yrkesarbetare (formbygge, armering, betong).",high,Lodjursstråket 1,Göteborg,41.7,29
Digitalenta AB,5592480486,https://www.digitalenta.se,hej@digitalenta.se,"Rekrytering och konsulter inom marknadsföring, MarTech, data och AI.",high,Malmskillnadsgatan 44 a,Stockholm,41.6,36
Engvalls Spår & Mark AB,5590500616,,,Personaluthyrning/entreprenad inom spårarbete (järnväg) och markarbeten.,medium,Nordhemsgatan 41 c,Göteborg,40.6,8
CMG Logistik AB,5569607723,,,Personaluthyrning och transportverksamhet – lager och logistik.,medium,Styrstad Holken,Norrköping,40.2,39
Styrka Transport och Logistik AB,5593943854,,,"Bemanning av chaufförer (B, C, CE, D, DE) och lagerpersonal inom transport och logistik.",medium,Mariehällsvägen 22,Nacka,40.1,15
Wise Professionals AB,5567612865,https://www.wise.se,,"Rekrytering och bemanning inom ekonomi, HR, lön, administration, marknad och ledarskap.",high,Linnégatan 87,Stockholm,39.9,18
Operationskonsulterna Stockholm AB,5569643561,https://operationskonsulterna.se,,"Vårdbemanning inom specialistsjukvård, särskilt operation/anestesi, IVA och BB.",high,Kindstugatan 1,Stockholm,39.6,65
Kraftsam Rekrytering & Bemanning AB,5590649207,https://kraftsam.se,info@kraftsam.se,"Kompetensbaserad rekrytering och bemanningslösningar för företag, generellt fokus.",high,Odengatan 40,Stockholm,39.5,10
IMPRESSIVE RELATIONS SWEDEN AB,5568514003,https://www.impressiverelations.se,,"Bemanning och rekrytering inom retail, försäljning och kundservice.",high,Sveavägen 163,Stockholm,39.4,46
LäkarAkademien Sverige AB,5567203871,,,Okänt,low,Skårängsvägen 26,Gävle,39.0,1
Farmartjänst Kungsbacka AB,5566013925,https://www.farmartjanst.se,,"Bemanning och entreprenad (personaluthyrning, snöröjning, grönyteskötsel) i Kungsbacka/Göteborgsregionen.",high,Höglandavägen 214 a,Kungsbacka,38.8,5
Safemind AB,5566420393,https://www.safemind.se,mail@safemind.se,"IT- och digitalrekrytering, inklusive executive search för digitala verksamheter.",high,Kammakargatan 7 6tr,Stockholm,38.8,17
KellyOCG Sweden AB,5594071622,https://www.kellyocg.com,,Rekryteringsprocessoutsourcing (RPO) och bemanningslösningar/logistiklösningar för bemanningsföretag.,medium,Hollsvattnet 221,Luleå,38.3,0
Medfind AB,5567245351,https://www.medfind.se,,"Vårdbemanning och läkarrekrytering, särskilt internationell rekrytering av specialistläkare.",high,Östra Vittusgatan 36,Karlskrona,38.2,20
Friday Sydost AB,5594675117,https://friday.se,,"IT/tech-rekrytering och bemanning (del av Friday Group, verksam i Linköping).",high,Ågatan 14,Linköping,38.1,44
Invoicery AB,5569015349,https://www.invoicery.com,,"Egenanställning/fakturering utan eget företag (gig-ekonomi, del av Frilans Finans-koncernen), registrerat under personaluthyrning.",high,Dag Hammarskjölds Väg 13,Uppsala,37.7,20
Pharm match AB,5591279012,https://www.pharmmatch.se,,Bemanning och rekrytering inom apotek och läkemedelsindustrin.,high,Musseronvägen 21,Huddinge,37.2,0
Hultmark Sweden AB,5569825531,https://hultmarksweden.se,,Personaluthyrning/bemanning inom svets- och rörmontage samt konsulttjänster till industrin.,high,Dunhammarvägen 18,Asarum,37.0,21
NORSE DIAMOND DRILLING AB,5593949752,https://www.norsedd.com,,"Borrning, mätningstjänster och bemanning/konsulttjänster inom gruv- och geoteknikbranschen.",high,Fabriksgatan 4,Malå,37.0,16
Wise IT AB,5569195356,https://www.wiseit.se,,IT-rekrytering och IT-konsulter (del av Wise Group).,high,Linnégatan 87,Stockholm,37.0,21
Stuvbutiken Bemanning AB,5590618996,https://www.stuvbutiken.com,,Personaluthyrning/bemanning till butik och detaljhandel (del av Stuvbutiken-koncernen).,medium,Bromsgatan 5,Karlstad,36.5,62
SEOO Bemanning AB,5593893448,,,"Bemanning inom marin miljö, mekanik och byggnation (t.ex. underhållsarbetare på fartyg/båtar).",low,Lilla Strandvägen 4,Stenungsund,36.4,37
ETU Match AB,5566086798,,,Matchning för arbete och utbildning samt bemanningstjänster.,low,Prästgårdsgatan 1,Sundbyberg,35.9,42
Procruitment Karlstad AB,5592152937,https://www.procruitment.se,,"Rekrytering och karriärtjänster inom IT, tech och engineering.",medium,Södra Kyrkogatan 6,Karlstad,35.7,42
Bricegroup AB,5592006695,https://www.brice.se,info@brice.se,"Executive search, specialistrekrytering och interim management inom Life Science, hälsa och hållbarhet.",high,Torsgatan 26,Stockholm,35.4,13
